項目	出題問題数
1章　WordPressの概要	3
　1.1　本書の目的	
　1.2　本書の対象者	
　1.3　「Hello world!」を表示しよう	
　1.4　インプットとアウトプットで考えるWordPress	
2章　WordPressの構造	13
　2.1　WordPressの実行領域	
　2.2　WordPressの構成要素	
　2.3　WordPressのファイルおよびディレクトリ構成	
　2.4　WordPressコア	
　2.5　wp-config.php	
　2.6　プラグイン	
　2.7　テーマ	
　2.8　アップロードデータ	
　2.9　データベースとWordPressの主要概念	
　2.10　データベースと管理画面	
3章　WordPressの実行プロセス	6
　3.1　WordPressクエリ	
　3.2　パーマリンクとリライトルール	
　3.3　Webサイト表示の実行プロセス	
　3.4　管理画面の実行プロセス	
4章　プラグイン開発とテーマ開発	5
　4.1　サンプルサイトの要件	
　4.2　Twenty Fifteenの子テーマの準備	
　4.3　新規ユーザーをサインナップできるようにする	
　4.4　ユーザーロールspecialの作成	
　4.5　投稿タイプspecialおよびタクソノミーspecial_tagの作成	
　4.6　ウィジェットの作成	
　4.7　プラグイン設定ページの作成	
　4.8　プラグイン無効化時の処理	
　4.9　テーマを完成させる	
5章　セキュリティ	4
　5.1　WordPressのセキュリティ対策	
　5.2　管理画面	
　5.3　サニタイズ	
　5.4　HTTPヘッダ	
　5.5　アクセス制限	
6章　スケーラビリティとパフォーマンス	4
　6.1　WordPressのスケーラビリティ	
　6.2　WordPressのパフォーマンス	
　6.3　WordPressのボトルネックを発見する	
追加　KUSANAGI	5
KUSANAGI概要	
KUSANAGI構築	
KUSANAGI運用	
